Cluster size,frequency,foTM
1,0.32625742656962964,0.06492270611702128
2,0.2737154253375239,0.10893450797872341
3,0.10392498773115035,0.06204080784574468
4,0.06799553100625451,0.05412234042553191
5,0.043687546334485385,0.04346742021276596
6,0.030426747136398282,0.036328124999999996
7,0.02226143613411158,0.03100897606382979
8,0.01701976589990707,0.02709441489361702
9,0.01338609808814777,0.023973570478723404
10,0.011391757421348842,0.02266871675531915
11,0.009334767309519583,0.020433011968085106
12,0.007382192939407545,0.017627992021276594
13,0.0059621388520533355,0.015423454122340424
14,0.005607125330214784,0.015620844414893618
15,0.004615175783901181,0.013775764627659573
16,0.004176629668688851,0.013297872340425532
17,0.0035396936442138017,0.011974318484042552
18,0.0033726284574662475,0.01208028590425532
19,0.003017614935627695,0.011409158909574469
20,0.002693926136304309,0.010721409574468085
21,0.002276263169435424,0.009512134308510639
22,0.002192730576061647,0.00959940159574468
23,0.0020569901118292593,0.009414478058510638
24,0.001775067609192762,0.008477393617021276
25,0.0016915350158189849,0.008415059840425532
26,0.0013365214939804325,0.006914893617021276
27,0.0013469630681521546,0.007236951462765958
28,0.0013365214939804325,0.007446808510638298
29,0.0011694563072328784,0.006748670212765958
30,0.0010963652880308236,0.006545046542553191
31,0.0009710663979701579,0.0059902759308510635
32,0.0011172484363742678,0.0071143617021276594
33,0.0008666506562529367,0.0056910738031914895
34,0.0008562090820812146,0.005792885638297872
35,0.0007831180628791596,0.005454205452127659
36,0.0007622349145357154,0.005460438829787234
37,0.0006056113019598835,0.004458942819148937
38,0.0005325202827578285,0.004026761968085107
39,0.0005638450052729949,0.0043758311170212765
40,0.0006369360244750499,0.005069813829787234
41,0.0005638450052729949,0.0046002327127659575
42,0.0005951697277881613,0.0049742353723404254
43,0.0005116371344143844,0.004377908909574468
44,0.0004385461152123294,0.0038397606382978722
45,0.0004907539860709401,0.00439453125
46,0.0005011955602426622,0.004587765957446808
47,0.00041766296686888515,0.00390625
48,0.0004385461152123294,0.0041888297872340425
49,0.0003967798185254409,0.003868849734042553
50,0.000407221392697163,0.004051695478723404
51,0.00033413037349510813,0.0033909574468085108
52,0.00027148092846477533,0.0028091755319148933
53,0.00033413037349510813,0.003523936170212766
54,0.00038633824435371875,0.0041514295212765956
55,0.000323688799323386,0.0035426363031914893
56,0.000323688799323386,0.0036070478723404255
57,0.00030280565097994173,0.003434591090425532
58,0.00028192250263649746,0.003253823138297872
59,0.00028192250263649746,0.003309923537234042
60,0.00013574046423238766,0.0016206781914893617
61,0.00022971463177788685,0.0027883976063829787
62,0.0002610393542930532,0.0032205784574468083
63,0.00020883148343444258,0.0026180186170212767
64,0.0001879483350909983,0.0023936170212765957
65,0.0001775067609192762,0.0022959607712765956
66,0.00022971463177788685,0.003016954787234043
67,0.0001775067609192762,0.0023666057180851065
68,0.0001461820384041098,0.0019780585106382977
69,0.00016706518674755407,0.002293882978723404
70,0.00020883148343444258,0.002908909574468085
71,0.0001775067609192762,0.0025078956117021278
72,0.00015662361257583193,0.0022440159574468087
73,0.00013574046423238766,0.0019718251329787235
74,0.00013574046423238766,0.0019988364361702127
75,0.0001461820384041098,0.002181682180851064
76,0.0001879483350909983,0.0028424202127659576
77,0.0001775067609192762,0.0027198304521276594
78,0.00013574046423238766,0.00210688164893617
79,9.397416754549915e-05,0.0014773105053191488
80,9.397416754549915e-05,0.0014960106382978723
81,0.00016706518674755407,0.00269281914893617
82,8.353259337377703e-05,0.001363031914893617
83,0.0001461820384041098,0.0024143949468085108
84,0.00012529889006066556,0.0020944148936170213
85,8.353259337377703e-05,0.0014128989361702129
86,0.00015662361257583193,0.002680352393617021
87,0.00010441574171722129,0.0018076795212765956
88,0.00010441574171722129,0.0018284574468085107
89,0.00011485731588894342,0.002034158909574468
90,0.00015662361257583193,0.0028050199468085107
91,6.264944503033278e-05,0.0011344747340425532
92,4.176629668688852e-05,0.0007646276595744681
93,5.2207870858610644e-05,0.0009661735372340426
94,7.30910192020549e-05,0.0013671875000000001
95,8.353259337377703e-05,0.0015791223404255318
96,5.2207870858610644e-05,0.0009973404255319148
97,6.264944503033278e-05,0.0012092752659574467
98,8.353259337377703e-05,0.0016289893617021276
99,5.2207870858610644e-05,0.0010285073138297871
100,0.00010441574171722129,0.0020777925531914893
101,9.397416754549915e-05,0.0018887134308510638
102,0.00010441574171722129,0.0021193484042553194
103,4.176629668688852e-05,0.0008560505319148937
104,3.132472251516639e-05,0.0006482712765957446
105,6.264944503033278e-05,0.0013090093085106383
106,0.00012529889006066556,0.0026429521276595744
107,4.176629668688852e-05,0.0008892952127659574
108,9.397416754549915e-05,0.0020196143617021278
109,3.132472251516639e-05,0.0006794381648936171
110,3.132472251516639e-05,0.0006856715425531915
111,6.264944503033278e-05,0.0013838098404255319
113,6.264944503033278e-05,0.0014087433510638298
114,2.088314834344426e-05,0.00047373670212765955
115,5.2207870858610644e-05,0.0011947307180851063
116,3.132472251516639e-05,0.0007230718085106383
117,7.30910192020549e-05,0.0017017121010638298
118,4.176629668688852e-05,0.0009807180851063829
119,7.30910192020549e-05,0.0017308011968085106
120,6.264944503033278e-05,0.0014960106382978723
121,4.176629668688852e-05,0.0010056515957446808
122,4.176629668688852e-05,0.0010139627659574468
123,5.2207870858610644e-05,0.001277842420212766
124,1.044157417172213e-05,0.0002576462765957447
125,2.088314834344426e-05,0.0005194481382978723
126,4.176629668688852e-05,0.0010472074468085106
127,3.132472251516639e-05,0.0007916389627659575
128,1.044157417172213e-05,0.00026595744680851064
129,3.132472251516639e-05,0.0008041057180851064
130,4.176629668688852e-05,0.0010804521276595745
131,2.088314834344426e-05,0.0005443816489361702
132,3.132472251516639e-05,0.0008228058510638299
133,4.176629668688852e-05,0.0011053856382978724
134,6.264944503033278e-05,0.0016705452127659575
135,3.132472251516639e-05,0.0008415059840425533
136,2.088314834344426e-05,0.0005651595744680851
137,3.132472251516639e-05,0.000853972739361702
138,3.132472251516639e-05,0.0008602061170212765
139,2.088314834344426e-05,0.000577626329787234
140,2.088314834344426e-05,0.000581781914893617
141,1.044157417172213e-05,0.00029296875
142,4.176629668688852e-05,0.001180186170212766
143,5.2207870858610644e-05,0.0014856216755319148
144,3.132472251516639e-05,0.0008976063829787234
145,4.176629668688852e-05,0.0012051196808510638
146,3.132472251516639e-05,0.0009100731382978724
147,6.264944503033278e-05,0.0018326130319148938
148,6.264944503033278e-05,0.0018450797872340426
150,5.2207870858610644e-05,0.001558344414893617
151,2.088314834344426e-05,0.0006274933510638298
152,1.044157417172213e-05,0.0003158244680851064
153,1.044157417172213e-05,0.0003179022606382979
154,3.132472251516639e-05,0.0009599401595744681
155,2.088314834344426e-05,0.0006441156914893617
156,1.044157417172213e-05,0.0003241356382978723
157,4.176629668688852e-05,0.0013048537234042553
158,1.044157417172213e-05,0.0003282912234042553
159,2.088314834344426e-05,0.0006607380319148936
160,5.2207870858610644e-05,0.0016622340425531915
161,2.088314834344426e-05,0.0006690492021276596
162,2.088314834344426e-05,0.0006732047872340425
164,2.088314834344426e-05,0.0006815159574468085
165,2.088314834344426e-05,0.0006856715425531915
166,3.132472251516639e-05,0.0010347406914893618
167,2.088314834344426e-05,0.0006939827127659575
168,2.088314834344426e-05,0.0006981382978723405
169,1.044157417172213e-05,0.0003511469414893617
170,1.044157417172213e-05,0.0003532247340425532
171,2.088314834344426e-05,0.0007106050531914894
172,1.044157417172213e-05,0.00035738031914893614
174,1.044157417172213e-05,0.00036153590425531913
175,1.044157417172213e-05,0.0003636136968085106
177,4.176629668688852e-05,0.0014710771276595744
178,1.044157417172213e-05,0.0003698470744680851
182,2.088314834344426e-05,0.0007563164893617021
185,2.088314834344426e-05,0.0007687832446808511
186,1.044157417172213e-05,0.00038646941489361704
187,1.044157417172213e-05,0.00038854720744680853
189,2.088314834344426e-05,0.000785405585106383
190,3.132472251516639e-05,0.0011843417553191488
191,2.088314834344426e-05,0.0007937167553191489
192,1.044157417172213e-05,0.00039893617021276594
193,1.044157417172213e-05,0.00040101396276595743
194,1.044157417172213e-05,0.0004030917553191489
199,1.044157417172213e-05,0.0004134807180851064
202,1.044157417172213e-05,0.00041971409574468086
203,1.044157417172213e-05,0.00042179188829787235
206,1.044157417172213e-05,0.00042802526595744683
208,1.044157417172213e-05,0.00043218085106382976
211,1.044157417172213e-05,0.00043841422872340424
212,2.088314834344426e-05,0.0008809840425531915
213,1.044157417172213e-05,0.0004425698138297872
216,2.088314834344426e-05,0.0008976063829787234
218,1.044157417172213e-05,0.0004529587765957447
220,1.044157417172213e-05,0.00045711436170212767
234,1.044157417172213e-05,0.0004862034574468085
236,1.044157417172213e-05,0.0004903590425531914
238,1.044157417172213e-05,0.0004945146276595744
242,1.044157417172213e-05,0.0005028257978723404
245,1.044157417172213e-05,0.0005090591755319149
249,1.044157417172213e-05,0.0005173703457446809
260,2.088314834344426e-05,0.0010804521276595745
270,1.044157417172213e-05,0.0005610039893617022
275,1.044157417172213e-05,0.0005713929521276596
276,1.044157417172213e-05,0.000573470744680851
278,1.044157417172213e-05,0.000577626329787234
285,1.044157417172213e-05,0.0005921708776595745
299,1.044157417172213e-05,0.0006212599734042553
317,1.044157417172213e-05,0.0006586602393617022
376,2.088314834344426e-05,0.0015625
391,1.044157417172213e-05,0.0008124168882978724
419,1.044157417172213e-05,0.000870595079787234
